Vardas         Pavarde         ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10    Egz.
Vardas44       Pavarde44       6    3    5    2    6    4    3    7    7    7      10
Vardas45       Pavarde45       4    7    2    10   8    7    10   7    10   2       9
Vardas46       Pavarde46       10   6    9    6    6    3    8    2    10   5       4
Vardas47       Pavarde47       8    5    10   6    9    5    2    4    10   6       6
Vardas48       Pavarde48       5    8    9    7    6    2    7    2    8    2       9
Vardas49       Pavarde49       7    9    2    3    6    7    8    8    9    7       3
Vardas50       Pavarde50       3    7    9    7    3    10   7    2    7    3      10
Vardas51       Pavarde51       10   2    3    5    10   3    4    8    2    8      10
Vardas52       Pavarde52       7    2    8    9    3    6    5    8    5    10      6
Vardas53       Pavarde53       6    9    3    3    6    10   5    6    7    7       4
Vardas54       Pavarde54       2    3    8    10   5    2    3    10   3    2       5
Vardas55       Pavarde55       6    4    9    8    3    6    2    2    7    2       3
Vardas56       Pavarde56       9    3    10   6    6    8    6    2    7    2       3
Vardas57       Pavarde57       6    10   10   3    6    2    9    4    2    6       3
Vardas58       Pavarde58       10   5    7    9    7    4    9    9    5    8       3
Vardas59       Pavarde59       7    7    6    9    4    9    5    7    3    5       8
Vardas60       Pavarde60       10   7    6    6    7    8    2    5    8    10      6
Vardas61       Pavarde61       5    3    10   9    3    9    8    9    8    4       2
Vardas62       Pavarde62       7    4    5    5    6    8    6    8    5    6       9
Vardas63       Pavarde63       10   9    7    7    6    6    2    9    3    6       9
Vardas64       Pavarde64       9    6    4    7    8    9    9    2    5    6       3
Vardas65       Pavarde65       4    4    3    7    2    10   3    6    3    8       5
Vardas66       Pavarde66       9    8    5    6    9    4    3    2    6    6       2
Vardas67       Pavarde67       5    7    5    7    10   4    9    4    4    9       9
Vardas68       Pavarde68       6    7    4    5    9    7    8    3    3    9      10
Vardas69       Pavarde69       2    10   6    8    6    9    2    7    3    9       6
Vardas70       Pavarde70       9    9    5    7    9    4    7    8    4    9       9
Vardas71       Pavarde71       2    4    7    2    10   3    2    7    10   7       6
Vardas72       Pavarde72       7    5    8    3    8    7    10   3    10   10      6
Vardas73       Pavarde73       9    4    8    2    3    9    2    8    4    8       8
Vardas74       Pavarde74       3    3    10   8    4    8    7    4    6    3       2
Vardas75       Pavarde75       4    8    2    6    9    5    7    4    8    10      5
Vardas76       Pavarde76       7    10   7    10   6    3    9    8    3    3       3
Vardas77       Pavarde77       7    3    7    8    9    4    6    9    7    6       5
Vardas78       Pavarde78       3    8    6    7    7    5    2    2    10   10      8
Vardas79       Pavarde79       9    7    2    7    3    5    7    5    6    7      10
Vardas80       Pavarde80       4    7    9    10   7    2    3    8    4    4       6
Vardas81       Pavarde81       4    3    6    10   9    6    2    2    8    7       9
Vardas82       Pavarde82       9    2    8    9    5    5    10   9    9    5       5
Vardas83       Pavarde83       7    8    4    6    2    8    2    9    7    4       3
Vardas84       Pavarde84       7    3    3    2    3    8    5    2    6    7      10
Vardas85       Pavarde85       2    7    5    10   2    6    9    9    4    9       5
Vardas86       Pavarde86       3    6    3    2    2    5    8    9    5    4      10
Vardas87       Pavarde87       7    8    10   3    7    2    9    7    9    6       3
Vardas88       Pavarde88       5    10   6    9    10   6    4    9    10   9       3
Vardas89       Pavarde89       6    8    8    4    6    9    9    7    2    8       6
Vardas90       Pavarde90       3    3    9    7    7    2    2    2    4    5       9
Vardas91       Pavarde91       5    4    3    7    6    8    6    5    10   6       6
Vardas92       Pavarde92       8    6    4    5    10   2    5    8    2    6       7
Vardas93       Pavarde93       5    4    3    8    2    7    9    5    10   5       2
Vardas94       Pavarde94       6    9    4    7    4    5    7    5    6    4       3
Vardas95       Pavarde95       9    6    10   4    9    6    3    7    3    3      10
Vardas96       Pavarde96       9    3    3    4    10   2    2    8    4    9       9
Vardas97       Pavarde97       10   10   3    6    2    5    3    9    9    10      3
Vardas98       Pavarde98       3    6    9    4    6    5    8    10   9    3       6
Vardas99       Pavarde99       9    3    8    8    5    8    8    3    9    8       8
Vardas100      Pavarde100      8    7    6    8    8    2    4    3    4    3      10
Vardas101      Pavarde101      3    7    8    5    10   3    3    6    2    4       5
Vardas102      Pavarde102      9    5    3    2    4    7    7    3    10   9       3
Vardas103      Pavarde103      3    6    3    10   10   10   9    6    6    9       8
Vardas104      Pavarde104      7    8    2    10   5    2    8    6    7    10      7
Vardas105      Pavarde105      6    3    5    4    9    4    3    9    2    4       7
Vardas106      Pavarde106      3    9    10   10   7    5    8    4    7    8       7
Vardas107      Pavarde107      2    9    8    3    9    6    5    2    3    8       5
Vardas108      Pavarde108      5    2    4    10   10   4    2    2    5    4       2
Vardas109      Pavarde109      5    7    3    2    7    3    10   7    2    9       4
Vardas110      Pavarde110      5    10   7    2    5    4    10   9    5    3       8
Vardas111      Pavarde111      7    4    2    7    2    4    7    3    8    6       6
Vardas112      Pavarde112      2    7    10   7    8    3    4    6    3    2       4
Vardas113      Pavarde113      2    2    2    6    10   6    7    3    9    10      8
Vardas114      Pavarde114      9    7    6    8    9    2    3    6    5    2       4
Vardas115      Pavarde115      9    3    7    5    5    2    6    2    4    7       6
Vardas116      Pavarde116      4    2    8    10   2    5    10   10   2    4       7
Vardas117      Pavarde117      7    5    2    6    9    7    5    6    10   4       3
Vardas118      Pavarde118      10   5    4    2    9    5    8    8    6    7       4
Vardas119      Pavarde119      10   3    2    3    4    10   8    3    3    7       6
Vardas120      Pavarde120      2    10   3    5    7    2    2    7    8    6       2
Vardas121      Pavarde121      3    7    2    8    6    10   2    6    3    6       9
Vardas122      Pavarde122      4    6    6    7    10   8    7    2    2    7       2
Vardas123      Pavarde123      2    6    8    7    2    6    5    3    6    8       4
Vardas124      Pavarde124      6    3    6    4    4    4    9    8    7    10      5
Vardas125      Pavarde125      6    4    2    2    9    8    4    10   10   8      10
Vardas126      Pavarde126      6    6    3    2    6    7    7    7    7    5       6
Vardas127      Pavarde127      5    4    2    5    5    10   3    7    4    5       9
Vardas128      Pavarde128      10   7    3    4    10   8    6    4    6    4       2
Vardas129      Pavarde129      8    10   4    10   2    9    4    4    9    8       8
Vardas130      Pavarde130      2    2    6    8    8    4    5    2    10   5       8
Vardas131      Pavarde131      7    6    4    8    5    6    6    10   6    8       7
Vardas132      Pavarde132      7    9    10   9    2    10   10   9    3    3       8
Vardas133      Pavarde133      7    4    3    3    7    8    7    4    2    2      10
Vardas134      Pavarde134      10   6    2    3    9    2    2    9    6    2       7
Vardas135      Pavarde135      5    6    6    3    6    8    3    9    6    5       7
Vardas136      Pavarde136      10   5    7    4    10   4    6    9    10   6      10
Vardas137      Pavarde137      7    8    6    10   10   9    2    3    10   3       4
Vardas138      Pavarde138      7    2    3    4    10   4    4    8    10   2       7
Vardas139      Pavarde139      3    9    5    6    3    7    9    8    9    8       6
Vardas140      Pavarde140      9    6    8    5    8    5    6    5    3    10      7
Vardas141      Pavarde141      3    5    5    5    5    3    5    6    2    3       7
Vardas142      Pavarde142      2    10   2    3    10   5    8    3    6    3       8
Vardas143      Pavarde143      7    7    8    3    5    6    9    4    8    3      10
Vardas144      Pavarde144      6    4    2    7    2    3    2    2    7    7       3
Vardas145      Pavarde145      9    7    2    6    7    3    10   2    10   6       3
Vardas146      Pavarde146      8    5    7    8    2    4    10   6    2    6       2
Vardas147      Pavarde147      8    10   5    9    9    8    2    10   8    5       5
Vardas148      Pavarde148      7    2    5    10   10   5    2    2    5    9       8
Vardas149      Pavarde149      4    10   2    7    6    10   8    9    5    2       3
Vardas150      Pavarde150      9    6    10   4    9    5    8    4    8    2       7
Vardas151      Pavarde151      3    9    5    2    6    5    5    6    6    2       3
Vardas152      Pavarde152      5    8    8    6    3    2    8    5    10   7       8
Vardas153      Pavarde153      3    9    3    6    4    5    7    2    5    3       3
Vardas154      Pavarde154      6    3    7    6    4    7    2    10   9    10      2
Vardas155      Pavarde155      6    6    4    5    7    10   8    2    7    3       8
Vardas156      Pavarde156      2    6    8    10   7    6    5    8    2    2      10
Vardas157      Pavarde157      4    6    5    5    2    2    8    6    6    7       2
Vardas158      Pavarde158      9    7    10   9    5    7    3    5    5    3       7
Vardas159      Pavarde159      3    9    8    10   7    2    2    2    6    9       8
Vardas160      Pavarde160      2    3    5    9    6    7    10   2    3    9       3
Vardas161      Pavarde161      9    9    3    6    10   4    7    9    3    3       6
Vardas162      Pavarde162      5    7    8    8    8    9    4    4    9    3       8
Vardas163      Pavarde163      3    6    9    8    2    6    8    9    3    7       9
Vardas164      Pavarde164      4    7    4    10   3    8    9    5    7    4       8
Vardas165      Pavarde165      9    10   8    6    10   2    7    5    7    3       5
Vardas166      Pavarde166      6    3    8    2    6    7    9    7    5    7       5
Vardas167      Pavarde167      6    4    7    5    10   2    3    8    9    9       4
Vardas168      Pavarde168      7    2    2    6    4    2    10   3    8    9       7
Vardas169      Pavarde169      8    10   5    5    2    8    10   5    6    5       4
Vardas170      Pavarde170      10   6    10   3    7    8    6    2    6    8       6
Vardas171      Pavarde171      6    3    9    6    4    2    4    9    7    9       2
Vardas172      Pavarde172      5    6    7    10   2    2    3    3    6    3      10
Vardas173      Pavarde173      9    3    4    10   8    8    10   5    6    3      10
Vardas174      Pavarde174      7    4    6    6    5    5    6    4    8    3       9
Vardas175      Pavarde175      10   6    10   4    8    6    10   7    7    8       4
Vardas176      Pavarde176      8    9    2    2    2    9    3    8    3    6       2
Vardas177      Pavarde177      6    5    2    2    9    9    6    8    4    3       6
Vardas178      Pavarde178      4    9    8    10   6    4    3    10   9    3       8
Vardas179      Pavarde179      6    5    8    8    4    5    4    3    8    2       6
Vardas180      Pavarde180      8    4    10   6    3    4    2    5    4    4       4
Vardas181      Pavarde181      8    7    9    7    7    4    3    4    2    9       7
Vardas182      Pavarde182      10   3    10   4    3    9    8    5    6    9       4
Vardas183      Pavarde183      8    9    8    3    5    2    2    7    2    5       6
Vardas184      Pavarde184      9    10   9    4    2    10   5    2    4    8       7
Vardas185      Pavarde185      2    8    7    8    3    9    6    9    8    10     10
Vardas186      Pavarde186      9    7    6    7    2    5    7    6    6    7      10
Vardas187      Pavarde187      4    6    6    8    3    5    9    4    4    2       5
Vardas188      Pavarde188      5    6    8    6    2    4    9    6    2    2       5
Vardas189      Pavarde189      4    6    4    6    2    4    9    2    8    9       4
Vardas190      Pavarde190      7    2    7    8    10   3    6    6    2    2       9
Vardas191      Pavarde191      5    5    7    10   7    7    5    2    8    3       2
Vardas192      Pavarde192      4    9    8    3    4    10   10   6    8    3       5
Vardas193      Pavarde193      5    9    10   3    4    6    7    5    5    7       5
Vardas194      Pavarde194      2    4    10   8    5    9    10   5    2    7      10
Vardas195      Pavarde195      9    7    5    2    6    8    3    5    4    9       8
Vardas196      Pavarde196      3    8    5    6    10   3    5    4    8    3       2
Vardas197      Pavarde197      9    7    5    9    8    5    3    4    2    6       8
Vardas198      Pavarde198      4    3    2    6    10   5    4    8    6    7       5
Vardas199      Pavarde199      7    5    9    9    4    6    7    6    4    5       8
Vardas200      Pavarde200      3    10   7    9    7    2    5    8    8    7       3
Vardas201      Pavarde201      10   5    5    4    8    3    7    9    7    6       8
Vardas202      Pavarde202      10   3    9    6    10   4    6    6    3    4       8
Vardas203      Pavarde203      9    9    7    10   2    9    6    7    10   3       4
Vardas204      Pavarde204      6    4    3    8    2    10   10   9    8    9       3
Vardas205      Pavarde205      4    5    5    3    6    7    9    9    5    9       4
Vardas206      Pavarde206      7    5    3    3    4    6    9    8    7    5       5
Vardas207      Pavarde207      5    9    5    5    7    2    4    8    2    6       2
Vardas208      Pavarde208      5    10   7    5    6    9    9    6    9    9       4
Vardas209      Pavarde209      4    3    2    8    4    7    2    9    4    4       5
Vardas210      Pavarde210      9    6    3    9    9    6    3    4    8    2      10
Vardas211      Pavarde211      2    5    3    4    7    4    4    9    9    8       7
Vardas212      Pavarde212      8    6    2    6    3    3    6    7    8    5       5
Vardas213      Pavarde213      7    5    9    6    3    3    8    8    4    8       2
Vardas214      Pavarde214      7    7    6    2    8    8    6    4    2    6       9
Vardas215      Pavarde215      5    3    2    9    2    9    6    3    7    9      10
Vardas216      Pavarde216      9    9    10   8    5    9    5    9    8    8       8
Vardas217      Pavarde217      2    3    9    9    4    5    5    3    5    2       7
Vardas218      Pavarde218      7    7    5    5    5    3    3    2    7    9       3
Vardas219      Pavarde219      5    8    8    10   2    7    5    5    7    4       5
Vardas220      Pavarde220      7    2    4    6    10   2    2    2    7    8       2
Vardas221      Pavarde221      3    7    7    10   6    4    2    10   8    8       7
Vardas222      Pavarde222      7    9    2    7    6    6    10   8    4    6       5
Vardas223      Pavarde223      8    7    9    5    5    6    5    2    6    7       8
Vardas224      Pavarde224      2    3    5    10   5    3    6    5    7    8       9
Vardas225      Pavarde225      5    3    7    3    6    2    10   5    6    3       6
Vardas226      Pavarde226      2    10   10   4    5    4    6    4    5    6       9
Vardas227      Pavarde227      4    2    9    5    2    3    3    4    3    2       6
Vardas228      Pavarde228      5    9    10   2    4    5    7    10   2    8       4
Vardas229      Pavarde229      3    3    7    7    5    3    9    3    8    6       3
Vardas230      Pavarde230      4    8    4    5    9    6    2    8    3    10      6
Vardas231      Pavarde231      2    2    2    6    10   9    6    8    8    10      4
Vardas232      Pavarde232      3    3    9    4    8    2    8    8    2    8       8
Vardas233      Pavarde233      2    5    9    9    7    9    5    2    6    4       8
Vardas234      Pavarde234      5    7    6    4    7    5    7    8    4    9       7
Vardas235      Pavarde235      10   5    7    5    10   6    2    10   5    9       4
Vardas236      Pavarde236      9    10   6    6    8    9    2    6    5    6       7
Vardas237      Pavarde237      9    7    10   10   3    4    8    6    7    7       4
Vardas238      Pavarde238      9    2    5    7    2    7    2    5    3    3       5
Vardas239      Pavarde239      7    7    5    9    3    8    4    7    3    4       5
Vardas240      Pavarde240      4    3    3    3    8    4    3    6    4    7       6
Vardas241      Pavarde241      4    10   8    8    2    3    7    6    4    7       4
Vardas242      Pavarde242      5    10   3    8    8    6    2    8    3    7       7
Vardas243      Pavarde243      2    4    7    6    2    7    7    4    4    8       6
Vardas244      Pavarde244      4    8    4    8    5    7    4    9    4    6       6
Vardas245      Pavarde245      3    4    3    10   8    6    10   6    7    3       9
Vardas246      Pavarde246      3    4    8    8    5    6    8    7    2    6       3
Vardas247      Pavarde247      10   9    8    5    8    4    3    2    7    3       9
Vardas248      Pavarde248      2    3    8    7    9    10   9    9    10   7       9
Vardas249      Pavarde249      4    10   6    8    4    6    5    9    9    4       8
Vardas250      Pavarde250      6    2    9    4    6    2    9    3    7    10      6
Vardas251      Pavarde251      2    8    5    3    3    4    7    5    5    8       7
Vardas252      Pavarde252      7    4    2    8    8    4    2    7    2    3       7
Vardas253      Pavarde253      3    9    7    8    6    9    2    6    2    8       4
Vardas254      Pavarde254      9    7    9    5    7    8    6    4    8    5       4
Vardas255      Pavarde255      10   2    5    10   6    4    8    9    10   2       9
Vardas256      Pavarde256      5    10   3    7    10   4    6    9    5    3       2
Vardas257      Pavarde257      8    10   8    5    9    7    4    8    6    10      8
Vardas258      Pavarde258      7    3    8    2    8    3    6    10   3    3       2
Vardas259      Pavarde259      6    8    5    2    3    2    7    8    6    10      6
Vardas260      Pavarde260      6    8    7    9    10   2    5    5    6    7       4
Vardas261      Pavarde261      4    2    5    10   3    7    8    8    6    6       6
Vardas262      Pavarde262      7    4    6    3    10   7    5    3    3    7       9
Vardas263      Pavarde263      9    3    10   2    4    6    9    4    3    8       7
Vardas264      Pavarde264      8    10   7    8    6    3    5    6    8    9       2
Vardas265      Pavarde265      5    2    6    9    10   8    3    10   3    3       8
Vardas266      Pavarde266      7    6    2    6    10   7    9    4    4    8       6
Vardas267      Pavarde267      10   7    7    5    7    6    3    5    4    10      8
Vardas268      Pavarde268      4    2    10   9    5    10   5    7    7    9       6
Vardas269      Pavarde269      9    4    2    3    8    9    3    7    9    2       4
Vardas270      Pavarde270      2    5    4    6    3    7    3    2    2    8      10
Vardas271      Pavarde271      5    3    4    7    7    5    2    3    10   10      9
Vardas272      Pavarde272      4    7    4    7    2    5    6    10   2    3       2
Vardas273      Pavarde273      7    8    3    3    7    2    6    7    2    4       4
Vardas274      Pavarde274      2    5    3    10   6    9    10   2    5    5       9
Vardas275      Pavarde275      2    5    4    3    9    6    4    7    3    4       4
Vardas276      Pavarde276      5    9    5    8    10   7    8    6    4    10      5
Vardas277      Pavarde277      6    2    8    10   3    6    4    10   2    5       8
Vardas278      Pavarde278      5    10   7    4    5    8    6    10   10   6       6
Vardas279      Pavarde279      7    8    3    9    8    7    2    9    3    5       8
Vardas280      Pavarde280      4    6    8    4    9    2    10   10   5    3       8
Vardas281      Pavarde281      8    10   2    2    7    9    7    9    7    2      10
Vardas282      Pavarde282      3    3    8    4    6    9    7    10   2    3       7
Vardas283      Pavarde283      5    3    3    5    9    7    9    4    8    7       6
Vardas284      Pavarde284      8    10   2    10   4    8    4    8    5    7       5
Vardas285      Pavarde285      10   3    3    10   4    2    2    4    7    6       2
Vardas286      Pavarde286      5    10   7    6    7    4    6    6    8    5       2
Vardas287      Pavarde287      5    10   10   6    10   8    10   7    2    10      6
Vardas288      Pavarde288      4    5    7    4    6    9    10   7    8    4      10
Vardas289      Pavarde289      6    7    4    7    6    5    6    6    4    8       2
Vardas290      Pavarde290      7    2    8    5    3    8    8    4    2    3       2
Vardas291      Pavarde291      8    5    7    4    4    4    5    5    2    3      10
Vardas292      Pavarde292      8    6    3    6    6    4    9    8    4    3      10
Vardas293      Pavarde293      3    7    10   8    6    5    4    7    5    5       9
Vardas294      Pavarde294      3    4    7    7    9    9    8    6    8    3       5
Vardas295      Pavarde295      2    7    5    8    6    9    9    4    4    9       5
Vardas296      Pavarde296      9    5    4    2    7    2    9    6    2    3       5
Vardas297      Pavarde297      3    7    2    10   8    8    6    8    2    9       8
Vardas298      Pavarde298      9    9    6    3    3    5    2    8    10   10      4
Vardas299      Pavarde299      3    3    10   5    8    4    7    9    4    8      10
Vardas300      Pavarde300      3    7    10   6    9    5    8    10   10   7       3
Vardas301      Pavarde301      8    8    3    7    5    8    5    3    6    2       3
Vardas302      Pavarde302      2    10   8    10   9    10   6    5    7    8       5
Vardas303      Pavarde303      9    10   7    3    6    8    6    8    6    6       9
Vardas304      Pavarde304      8    10   2    5    8    8    5    5    5    3       6
Vardas305      Pavarde305      2    5    3    5    5    9    8    4    3    5       4
Vardas306      Pavarde306      4    9    3    7    3    6    9    9    4    10      8
Vardas307      Pavarde307      7    9    2    2    5    5    2    6    2    10      4
Vardas308      Pavarde308      7    8    4    8    8    5    4    3    3    8       5
Vardas309      Pavarde309      2    4    8    3    4    10   5    10   5    10      2
Vardas310      Pavarde310      5    5    6    4    10   4    2    6    3    9      10
Vardas311      Pavarde311      2    3    5    6    7    5    5    4    8    5       9
Vardas312      Pavarde312      10   2    7    2    3    9    3    7    6    6       8
Vardas313      Pavarde313      9    5    9    9    2    10   2    2    9    6      10
Vardas314      Pavarde314      10   3    8    7    4    8    10   5    6    8       3
Vardas315      Pavarde315      6    8    8    9    8    9    10   5    5    8       6
Vardas316      Pavarde316      9    5    8    8    3    7    10   10   5    3       4
Vardas317      Pavarde317      5    6    9    3    7    10   10   10   8    10     10
Vardas318      Pavarde318      4    5    5    3    4    4    5    7    7    5       3
Vardas319      Pavarde319      4    10   3    8    4    2    4    5    3    10      4
Vardas320      Pavarde320      10   4    8    10   5    3    10   4    7    4       9
Vardas321      Pavarde321      10   7    6    6    9    6    5    8    2    6       6
Vardas322      Pavarde322      2    2    2    3    10   9    9    2    5    7       2
Vardas323      Pavarde323      3    6    6    3    3    9    10   6    3    8       2
Vardas324      Pavarde324      3    4    6    7    5    6    3    3    7    3       6
Vardas325      Pavarde325      2    3    8    3    6    4    8    6    3    3       8
Vardas326      Pavarde326      6    4    9    6    6    7    3    6    10   8       6
Vardas327      Pavarde327      4    10   10   3    3    6    7    6    10   6       9
Vardas328      Pavarde328      9    2    10   8    5    10   3    4    6    7       9
Vardas329      Pavarde329      2    9    2    9    8    7    4    7    9    9       7
Vardas330      Pavarde330      4    2    10   7    10   7    6    10   7    2       7
Vardas331      Pavarde331      2    5    6    7    9    9    6    6    7    9       9
Vardas332      Pavarde332      2    6    5    2    2    6    5    8    10   2       6
Vardas333      Pavarde333      10   2    10   8    8    7    5    4    9    8       6
Vardas334      Pavarde334      8    10   8    3    10   9    8    3    6    3       4
Vardas335      Pavarde335      10   7    4    5    9    6    2    6    6    2       9
Vardas336      Pavarde336      8    10   8    5    10   5    4    2    9    2       8
Vardas337      Pavarde337      8    10   6    7    10   2    9    8    9    3       7
Vardas338      Pavarde338      4    4    7    8    8    4    2    7    9    3       3
Vardas339      Pavarde339      10   6    10   6    2    8    9    3    10   5       5
Vardas340      Pavarde340      7    2    6    8    8    3    8    4    4    7       8
Vardas341      Pavarde341      9    5    2    10   5    4    4    8    6    4       2
Vardas342      Pavarde342      5    9    10   7    8    2    4    7    9    9       2
Vardas343      Pavarde343      10   7    3    4    2    6    10   10   9    3       4
Vardas344      Pavarde344      4    2    3    4    6    3    6    9    4    6       9
Vardas345      Pavarde345      3    10   10   8    9    4    3    4    10   4      10
Vardas346      Pavarde346      3    6    3    10   5    7    8    2    10   6      10
Vardas347      Pavarde347      2    9    5    8    7    6    8    4    4    7       6
Vardas348      Pavarde348      6    9    3    10   7    10   5    8    10   3       5
Vardas349      Pavarde349      9    3    2    10   8    10   4    4    7    9       7
Vardas350      Pavarde350      2    4    5    5    10   5    6    4    10   3       4
Vardas351      Pavarde351      10   3    5    9    9    7    8    9    8    4       9
Vardas352      Pavarde352      6    9    3    10   8    5    5    10   7    4       4
Vardas353      Pavarde353      10   5    4    9    8    5    8    8    9    4       8
Vardas354      Pavarde354      8    8    2    9    4    9    2    5    3    2       6
Vardas355      Pavarde355      5    3    4    5    4    4    4    8    2    4      10
Vardas356      Pavarde356      8    5    10   2    6    2    8    8    10   4       3
Vardas357      Pavarde357      4    3    4    6    10   8    9    5    8    8       4
Vardas358      Pavarde358      2    7    2    6    2    2    10   9    2    9       7
Vardas359      Pavarde359      3    9    9    6    2    6    4    10   10   6       7
Vardas360      Pavarde360      5    4    3    4    9    8    6    8    2    3       4
Vardas361      Pavarde361      3    4    6    7    6    8    7    6    10   3       9
Vardas362      Pavarde362      6    10   8    6    5    10   2    6    9    8      10
Vardas363      Pavarde363      8    10   7    10   6    4    3    6    3    8       3
Vardas364      Pavarde364      4    8    5    4    4    2    5    5    5    10      9
Vardas365      Pavarde365      4    9    2    3    4    3    5    7    2    5       9
Vardas366      Pavarde366      6    10   2    6    3    5    9    10   9    4       5
Vardas367      Pavarde367      2    8    4    7    6    7    3    2    6    3       2
Vardas368      Pavarde368      9    3    2    2    7    9    3    9    7    8       9
Vardas369      Pavarde369      8    8    6    10   3    7    7    9    3    8       7
Vardas370      Pavarde370      2    8    9    6    7    10   2    9    3    3       5
Vardas371      Pavarde371      8    2    10   2    3    3    8    8    5    6      10
Vardas372      Pavarde372      5    5    3    8    3    8    8    10   2    8       3
Vardas373      Pavarde373      9    7    8    3    4    2    5    5    10   9       7
Vardas374      Pavarde374      6    4    10   2    2    5    7    5    6    10      7
Vardas375      Pavarde375      9    3    6    2    10   10   9    7    3    2       3
Vardas376      Pavarde376      2    10   2    7    3    2    5    6    6    3       6
Vardas377      Pavarde377      6    2    2    8    5    4    4    2    2    7       8
Vardas378      Pavarde378      2    3    10   6    7    3    10   6    10   9       5
Vardas379      Pavarde379      5    8    9    6    2    10   10   9    8    6      10
Vardas380      Pavarde380      9    10   7    7    9    4    4    4    5    5       2
Vardas381      Pavarde381      10   2    8    4    8    8    7    8    5    9       2
Vardas382      Pavarde382      7    8    10   9    2    8    4    4    9    2       5
Vardas383      Pavarde383      6    2    9    9    4    6    5    10   10   5      10
Vardas384      Pavarde384      7    6    10   3    3    2    10   4    5    10     10
Vardas385      Pavarde385      10   5    5    7    8    6    7    8    2    6      10
Vardas386      Pavarde386      8    6    3    2    5    4    4    9    6    4       7
Vardas387      Pavarde387      8    3    10   9    4    6    8    2    3    2       9
Vardas388      Pavarde388      7    9    10   8    9    7    9    5    3    3       9
Vardas389      Pavarde389      10   3    8    3    3    3    3    6    7    10      2
Vardas390      Pavarde390      6    8    8    9    8    9    7    10   10   8      10
Vardas391      Pavarde391      10   4    2    5    9    10   3    10   7    2       2
Vardas392      Pavarde392      3    9    5    6    7    6    8    3    6    10      4
Vardas393      Pavarde393      10   3    6    9    4    3    6    6    8    2       5
Vardas394      Pavarde394      8    3    10   5    8    2    3    3    3    3       4
Vardas395      Pavarde395      7    4    8    2    4    7    4    4    8    9       3
Vardas396      Pavarde396      9    10   7    7    3    9    9    6    6    7       6
